Postcode,Aantal_inwoners
1011,10010
1012,9120
1013,23020
1014,4950
1015,14965
1016,11355
1017,13550
1018,23430
1019,20630
1021,7040
1022,5160
1023,4610
1024,14175
1025,16485
1026,550
1027,540
1028,605
1031,9620
1032,6425
1033,14680
1034,14935
1035,11025
1036,2755
1037,145
1042,5
1043,1185
1046,125
1047,30
1051,13170
1052,11980
1053,16495
1054,17300
1055,20940
1056,20270
1057,17290
1058,15750
1059,7110
1060,9925
1061,16995
1062,15585
1063,12455
1064,16815
1065,12135
1066,19130
1067,20425
1068,18330
1069,26255
1071,12735
1072,13835
1073,13395
1074,8370
1075,10470
1076,11390
1077,10120
1078,14690
1079,14700
1081,5800
1082,12790
1083,8735
1086,4920
1087,21045
1091,16850
1092,8560
1093,10130
1094,12145
1095,15645
1096,5935
1097,16360
1098,15515
1101,1060
1102,25765
1103,14305
1104,15840
1105,2810
1106,17905
1107,11570
1108,3135
1109,1675
1111,15220
1112,14305
1113,3450
1114,300
1115,5270
1117,15
1118,110
1119,110
1121,10405
1127,850
1131,8920
1132,13820
1135,7340
1141,9755
1145,330
1151,2770
1153,305
1154,125
1156,1730
1161,8140
1165,2615
1171,14625
1175,915
1181,21615
1182,3890
1183,15295
1184,625
1185,12760
1186,14500
1187,18500
1188,7315
1189,515
1191,8880
1211,10230
1212,3710
1213,7890
1214,7640
1215,10240
1216,9050
1217,7800
1218,4165
1221,9500
1222,11400
1223,12805
1231,9350
1241,6595
1243,1410
1244,1490
1251,11080
1252,355
1261,11125
1262,1600
1271,8360
1272,6270
1273,8690
1274,6345
1275,2005
1276,7510
1277,2010
1309,35
1311,4860
1312,6935
1313,4210
1314,6825
1315,4880
1316,4070
1317,4070
1318,9490
1319,7335
1321,9695
1322,140
1323,6260
1324,10455
1325,10675
1326,11100
1327,5
1328,9910
1331,195
1332,10
1333,12450
1334,2465
1335,12470
1336,9805
1338,9670
1339,11305
1341,4070
1343,1605
1349,5245
1351,2010
1352,1695
1353,4975
1354,3160
1355,3070
1356,2750
1357,3440
1358,700
1359,2660
1361,4665
1362,990
1363,16150
1381,5330
1382,10315
1383,3565
1384,4385
1391,8260
1393,1580
1394,5570
1396,1460
1398,5530
1399,3030
1401,4760
1402,9545
1403,9410
1404,3585
1405,2845
1406,3430
1411,10495
1412,7735
1421,6085
1422,15310
1423,5530
1424,4760
1426,895
1427,980
1428,115
1431,13480
1432,10545
1433,9255
1435,4415
1436,510
1437,75
1438,165
1441,15140
1442,7245
1443,8115
1444,6785
1445,9605
1446,5040
1447,12350
1448,19265
1451,405
1452,1815
1454,550
1456,1950
1458,180
1461,4485
1462,5745
1463,625
1464,775
1471,800
1472,700
1473,780
1474,3630
1475,525
1476,115
1477,170
1481,110
1482,140
1483,4270
1484,885
1485,85
1486,755
1487,145
1488,220
1489,150
1501,6515
1502,8890
1503,11390
1504,8415
1505,7080
1506,14125
1507,13400
1508,5130
1509,6495
1511,9695
1521,12300
1525,570
1531,13255
1534,485
1536,320
1541,11255
1544,8515
1546,685
1551,5090
1561,8330
1562,9000
1566,13250
1567,11620
1601,7610
1602,11285
1606,4300
1607,1645
1608,1535
1609,105
1611,10160
1613,9790
1614,2265
1616,8695
1617,1830
1619,7225
1621,5825
1622,7855
1623,2595
1624,5990
1625,9940
1627,15
1628,20400
1631,435
1633,3455
1634,525
1636,1260
1641,1060
1642,45
1643,475
1645,2975
1646,75
1647,2675
1648,3825
1652,550
1654,750
1655,930
1657,2050
1658,170
1661,425
1662,300
1663,115
1671,8655
1674,1985
1676,1070
1678,865
1679,2545
1681,280
1682,230
1683,205
1684,590
1685,480
1686,130
1687,6345
1688,2600
1689,17600
1691,710
1692,20
1693,8170
1695,5420
1696,1545
1697,840
1701,9175
1702,8505
1703,12735
1704,10070
1705,17010
1706,3715
1711,1590
1713,5975
1715,4815
1716,2135
1718,3940
1719,465
1721,6045
1722,6865
1723,5985
1724,3840
1731,3505
1732,780
1733,3320
1734,395
1735,2275
1736,395
1738,2760
1741,13140
1742,6565
1744,1845
1746,1685
1747,3855
1749,6090
1751,2115
1752,735
1753,665
1754,885
1755,1650
1756,2625
1757,705
1759,2405
1761,8735
1764,3810
1766,2380
1767,1070
1768,910
1769,175
1771,6080
1773,575
1774,2195
1775,4330
1777,5240
1778,915
1779,2430
1781,9175
1782,10330
1783,2615
1784,9295
1785,9090
1786,150
1787,3480
1788,11715
1789,580
1791,7205
1792,1465
1793,335
1794,1315
1795,1160
1796,1360
1797,970
1811,5460
1812,220
1813,9025
1814,9635
1815,7200
1816,8540
1817,4290
1821,1660
1822,6455
1823,7420
1824,7720
1825,9095
1826,6495
1827,10325
1829,4050
1831,2395
1832,265
1834,5860
1841,2105
1842,605
1843,710
1844,230
1846,395
1847,260
1851,12695
1852,10415
1853,1200
1861,6455
1862,6205
1865,335
1871,4765
1873,1460
1901,14765
1902,8595
1906,7775
1911,13400
1921,5085
1931,4590
1934,3560
1935,2570
1941,3730
1942,2490
1943,5365
1944,7205
1945,7235
1946,4665
1947,3865
1948,6165
1949,2150
1951,5710
1961,1280
1962,7800
1963,5570
1964,7010
1965,5925
1966,5085
1967,5210
1968,310
1969,1260
1971,8960
1972,8230
1973,5900
1974,6215
1975,2870
1976,315
1981,2135
1985,3155
1991,13095
1992,1985
2011,14600
2012,13090
2013,8295
2014,8875
2015,5700
2019,150
2021,9150
2022,9170
2023,13395
2024,9275
2025,9790
2026,5670
2031,2030
2032,8215
2033,13130
2034,10250
2035,9255
2036,7625
2037,9380
2041,7870
2042,8570
2051,4570
2061,6745
2063,600
2064,3545
2065,315
2071,7240
2082,3360
2101,7610
2102,5505
2103,3790
2104,3730
2105,3900
2106,3055
2111,4850
2114,2195
2116,1025
2121,5420
2131,10995
2132,14035
2133,7815
2134,28080
2135,18970
2136,2185
2141,4915
2142,1830
2143,140
2144,1000
2151,15840
2152,12555
2153,3360
2154,335
2155,55
2156,375
2157,1265
2158,480
2159,410
2161,13150
2162,7480
2163,2815
2165,3335
2171,10450
2172,5635
2181,9915
2182,12905
2191,2395
2201,13570
2202,8050
2203,4950
